ind,project,pop,super_pop,gender,related,related_exclude,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
HG01620,1000 Genomes,IBS,EUR,female,true,false,-0.10227,-0.24384,-0.013696,0.09617,-0.0078079,0.0022568,0.010156,-0.007165,0.0026471,0.032399,-0.014768,0.014803,-0.0048131,0.0035349,-0.0013026,0.0060522,0.0068843,-0.014426,0.001063,-1.9141E-4
HG01621,1000 Genomes,IBS,EUR,male,false,false,-0.10162,-0.2451,-0.0094905,0.092977,-0.0060083,0.0038542,0.014624,-0.0073349,0.0020938,0.028793,-0.011784,0.015695,-0.0049258,0.0061319,-0.0033944,0.0050634,0.0074523,-0.017966,0.0048171,0.0015199
HG01622,1000 Genomes,IBS,EUR,female,false,false,-0.10076,-0.24454,-0.013824,0.10139,-0.010162,-0.0013528,0.012507,-0.0051233,0.0078038,0.032959,-0.013896,0.019867,-0.0036717,3.3981E-4,0.0024758,0.013249,0.0057559,-0.017519,-0.0053319,-3.2032E-4
HG01623,1000 Genomes,IBS,EUR,female,true,true,-0.10294,-0.24516,-0.012703,0.097993,-0.01067,-0.0041367,0.011679,-0.0039131,0.0088612,0.030877,-0.013602,0.020535,-0.0040564,-4.4334E-4,-0.0012727,0.0068557,0.0069724,-0.017911,-0.0047191,0.0012254
HG01624,1000 Genomes,IBS,EUR,male,true,true,-0.10191,-0.2442,-0.012845,0.099727,-0.01117,-0.0011316,0.01477,-0.0045878,0.0076473,0.032405,-0.011823,0.020336,-0.0061898,0.0024442,0.0058253,0.013249,0.0096544,-0.019005,-0.003242,0.0056596
HG01625,1000 Genomes,IBS,EUR,male,true,false,-0.10899,-0.24425,-0.017753,0.098414,-0.0094043,-9.5252E-4,0.005973,-0.001221,8.0283E-4,0.019949,-0.011922,0.01843,-0.0048256,0.0066655,0.0050453,0.0061312,0.003015,-0.010951,-0.0011982,0.0014118
HG01626,1000 Genomes,IBS,EUR,female,true,false,-0.10041,-0.24072,-0.0092186,0.097065,-0.0075669,-0.0018069,0.030281,-7.4698E-4,0.0030082,0.020667,-0.0045742,0.008122,-0.0029907,9.0089E-4,-0.0017192,0.003058,0.0036937,-0.010803,0.002877,0.0030281
HG01627,1000 Genomes,IBS,EUR,male,false,false,-0.10388,-0.24219,-0.012101,0.098815,-0.0099129,-8.2974E-4,0.021821,0.0019422,0.0030369,0.022172,-0.0091349,0.012907,-0.0045899,0.0058859,0.0035021,0.0045994,0.0064123,-0.013791,0.0017841,4.9576E-4
HG01631,1000 Genomes,IBS,EUR,male,true,false,-0.1103,-0.25299,-0.0082572,0.099564,-0.0062306,5.0977E-4,0.011061,-0.012583,0.0045567,0.02592,-0.014984,0.023402,-0.0056527,0.0060012,-9.2223E-4,0.0028524,0.012496,-0.018921,-0.0050193,0.0076566
HG01632,1000 Genomes,IBS,EUR,female,true,false,-0.1086,-0.24619,-0.010369,0.09782,-0.005862,-0.0010045,0.005212,-0.0082809,-1.4629E-4,0.031531,-0.0039045,0.016723,-0.0041348,0.0043621,0.0030499,0.0064178,-3.778E-4,-0.0088494,-0.0033009,-9.2618E-4
HG01633,1000 Genomes,IBS,EUR,male,false,false,-0.11055,-0.24838,-0.0069946,0.09339,-0.0057006,0.0012054,0.007351,-0.011028,0.002595,0.025743,-0.0097547,0.019776,-0.0041415,0.0078927,0.0020083,0.0057713,0.0062385,-0.011406,-0.001879,0.004496
HG01667,1000 Genomes,IBS,EUR,male,false,false,-0.091141,-0.23535,-0.011447,0.093806,-0.008285,-0.0040476,4.8194E-5,-0.010214,0.0010307,0.029717,-0.0052848,0.016219,0.0018623,-2.949E-4,-0.001016,0.011831,-2.1242E-5,-0.0045871,0.0022274,0.0014235
HG01668,1000 Genomes,IBS,EUR,female,true,true,-0.095758,-0.23531,-0.011078,0.090917,-0.010569,-0.0024376,0.0024243,-0.009952,4.3181E-4,0.026841,-0.0019637,0.018089,6.6469E-4,0.0063398,0.0010034,0.011418,3.3117E-6,-0.0047263,3.0576E-4,3.0124E-4
HG01669,1000 Genomes,IBS,EUR,male,true,true,-0.085233,-0.23717,-0.01339,0.098518,-0.010468,-0.0020433,0.010829,-0.010768,0.0016624,0.0292,-0.010005,0.016405,0.0010192,-0.0010592,0.0025117,0.015782,-2.6108E-4,-0.006178,3.5945E-4,-3.3531E-4
HG01670,1000 Genomes,IBS,EUR,female,true,false,-0.10636,-0.24692,-0.0085042,0.10044,-0.00961,-0.0041314,0.0056847,-0.0038221,0.0042536,0.02868,-0.0048672,0.014624,-0.0029361,0.0058194,0.0015957,0.0088353,0.0067287,-0.01043,0.0035188,0.0061749
HG01671,1000 Genomes,IBS,EUR,male,false,false,-0.10763,-0.24251,-0.012123,0.094225,-0.012575,-5.9524E-4,0.0033531,-0.0068148,0.002013,0.024662,-0.0080183,0.012045,-0.0017863,0.0037528,-0.0017055,0.0071478,0.012644,-0.011963,0.0079318,0.0072671
HG01672,1000 Genomes,IBS,EUR,male,true,true,-0.10883,-0.24584,-0.016128,0.094919,-0.0099007,-1.7042E-4,-0.0050673,-0.010016,0.0061463,0.02848,-0.010615,0.008577,-0.0027914,0.0039069,-7.6763E-4,0.0058411,0.0138,-0.015029,0.0086279,0.0034704
HG01673,1000 Genomes,IBS,EUR,female,true,false,-0.11249,-0.25002,-0.011981,0.098027,-0.0085645,5.6514E-4,-9.5328E-4,-0.0068043,0.0045843,0.028924,-0.01417,0.021066,-0.0061857,-0.0010128,0.0060146,0.005403,0.0059477,-0.021817,-7.756E-4,0.0020785
HG01674,1000 Genomes,IBS,EUR,male,false,false,-0.11398,-0.24877,-0.011402,0.099742,-0.010331,-0.0015306,0.0017181,-0.0071242,0.005268,0.036409,-0.016691,0.025316,-0.0049302,5.8387E-4,0.0023166,0.0087004,0.0099069,-0.022156,0.0019606,0.0070073
HG01675,1000 Genomes,IBS,EUR,male,true,true,-0.11455,-0.25009,-0.011446,0.099705,-0.0092102,-0.0013849,0.0086235,-0.0048817,0.0073429,0.041522,-0.020521,0.027735,-0.003502,0.0058366,-5.6032E-4,0.011306,0.0084899,-0.021125,0.0014851,0.012257
HG01676,1000 Genomes,IBS,EUR,female,true,false,-0.11118,-0.25253,-0.020618,0.10521,-0.011417,-0.0019813,0.0058681,-0.0097527,0.0084482,0.039605,-0.010311,0.024115,-0.0070465,0.0028369,-2.722E-4,0.013371,0.011076,-0.017474,8.4509E-4,0.0078212
HG01677,1000 Genomes,IBS,EUR,female,false,false,-0.11168,-0.24973,-0.016818,0.10408,-0.014905,-0.0018854,0.0024211,-0.011101,0.0098764,0.039782,-0.012211,0.023399,-0.0077983,0.0082627,-0.00476,0.012769,0.009714,-0.018096,0.004783,0.0090507
HG01678,1000 Genomes,IBS,EUR,male,true,true,-0.11188,-0.24655,-0.0097107,0.10119,-0.015648,-0.001573,0.0066505,-0.0092755,0.0069105,0.040066,-0.010331,0.020427,-0.0050118,0.010839,-4.6582E-4,0.011575,0.010544,-0.021057,0.0034364,0.0082033
HG01679,1000 Genomes,IBS,EUR,female,true,false,-0.10674,-0.24657,-0.011899,0.099073,-0.01154,8.237E-4,0.0075571,-0.007336,0.005103,0.033856,-0.011047,0.019082,-0.0030758,2.7352E-4,1.943E-4,0.013267,0.011678,-0.011999,0.0050686,0.0046881
HG01680,1000 Genomes,IBS,EUR,male,true,false,-0.10916,-0.24722,-0.017738,0.10369,-0.0077674,8.19E-4,-0.0035569,-0.010677,0.0047389,0.031872,-0.0065165,0.016705,-0.0059686,0.010413,0.0016676,0.0042526,0.0093871,-0.015169,-0.0017151,8.8194E-4
HG01681,1000 Genomes,IBS,EUR,female,false,false,-0.10783,-0.24583,-0.016251,0.099055,-0.011248,-0.0012913,0.0028774,-0.0081766,0.006226,0.029784,-0.011439,0.019829,-0.0045955,0.0068003,0.0019014,0.006374,0.010948,-0.015199,0.0028659,0.0024753
HG01682,1000 Genomes,IBS,EUR,male,false,false,-0.10899,-0.25273,-0.013749,0.10014,-0.0096196,0.0038735,0.0029332,-0.0025992,0.0082729,0.038161,-0.012758,0.02444,-0.0049429,0.0015459,-0.0022144,0.007074,0.011686,-0.027425,0.0022736,0.0048731
HG01684,1000 Genomes,IBS,EUR,female,false,false,-0.1137,-0.25108,-0.014859,0.10235,-0.0092278,0.0022517,-0.002191,-0.0067371,0.0051742,0.034697,-0.011848,0.017213,-0.0044059,2.4948E-4,-0.0035238,0.0059428,0.0072547,-0.0085699,-4.4681E-5,0.0068429
HG01685,1000 Genomes,IBS,EUR,female,true,false,-0.097509,-0.24281,-0.011992,0.097183,-0.0066339,-0.0022046,0.010663,-0.0023659,0.0032962,0.018616,-0.0055385,0.012926,-0.0043568,0.0031394,0.0058999,0.007666,3.9131E-4,-0.0038756,-8.6626E-4,0.0031406
HG01686,1000 Genomes,IBS,EUR,male,true,false,-0.1047,-0.24454,-0.015631,0.09616,-0.012459,3.1167E-5,-0.0032233,-0.012536,0.0027557,0.022092,-0.0032579,0.017966,-0.0066865,0.00536,-4.8854E-4,0.0095647,0.0023146,-0.0091148,0.0020016,0.0038511
HG01687,1000 Genomes,IBS,EUR,female,false,false,-0.098175,-0.24558,-0.013353,0.09704,-0.0092588,-3.5263E-5,0.0091827,-0.0061661,0.0026059,0.018312,-0.003779,0.015214,-0.0064539,0.003031,0.0019721,0.0080499,8.0803E-4,-0.0083386,3.2748E-4,5.2665E-4
HG01695,1000 Genomes,IBS,EUR,female,true,false,-0.08478,-0.23521,-0.0099085,0.095126,-0.0092846,-0.0059713,0.019833,-0.0054165,0.0043237,0.032668,-0.0047563,0.015138,-0.0031895,-0.003724,0.0025612,0.024807,0.005289,0.002609,0.0025544,-0.012186
HG01697,1000 Genomes,IBS,EUR,female,true,false,-0.099873,-0.24166,-0.014571,0.093949,-0.0082363,-4.5108E-4,0.013132,-0.0030469,0.0069747,0.037599,-0.012202,0.019574,-0.0047531,0.0099982,0.0016363,0.0085445,0.0050574,-0.01083,-0.0019143,0.0057364
HG01698,1000 Genomes,IBS,EUR,male,false,false,-0.10277,-0.24376,-0.013112,0.097471,-0.0081231,0.0014233,0.013303,-0.0085733,0.0067584,0.03463,-0.01462,0.019103,-0.0060286,0.0040787,-0.0020992,0.012856,0.0049059,-0.0072409,2.1695E-4,0.0036401
HG01699,1000 Genomes,IBS,EUR,male,true,true,-0.099832,-0.24338,-0.0070308,0.097085,-0.0068667,7.7934E-4,0.019643,-0.0081102,0.0090935,0.035073,-0.013249,0.022081,-0.010242,-0.0018956,-0.0017144,0.011344,0.005252,-0.0030362,0.0024666,0.0039167
HG01700,1000 Genomes,IBS,EUR,male,true,false,-0.11986,-0.25408,-0.020106,0.1066,-0.01752,0.001461,-0.014719,-0.014692,0.0086754,0.05287,-0.017122,0.033835,-0.011166,0.0044795,0.002883,0.017453,0.013926,-0.027585,0.0026592,0.016933
HG01701,1000 Genomes,IBS,EUR,male,false,false,-0.12095,-0.25375,-0.021424,0.10491,-0.016232,3.3587E-4,-0.018634,-0.013576,0.0075799,0.051872,-0.019144,0.036273,-0.010978,0.0053954,0.0019185,0.013978,0.014166,-0.026826,0.0050132,0.01506
HG01702,1000 Genomes,IBS,EUR,female,true,true,-0.11674,-0.25591,-0.018866,0.10625,-0.013857,4.3902E-4,-0.012053,-0.013322,0.006271,0.052018,-0.021761,0.038912,-0.0077184,0.0064501,-0.0011329,0.012179,0.015239,-0.028343,0.0047679,0.012934
HG01703,1000 Genomes,IBS,EUR,male,false,false,-0.10011,-0.24265,-0.011068,0.094625,-0.011334,7.8713E-4,0.012283,-0.0036648,0.0044256,0.031265,-0.0059155,0.012323,-0.0066232,0.003254,-0.0027309,0.0052675,0.0030332,-0.0091634,0.0021912,0.008678
HG01704,1000 Genomes,IBS,EUR,female,true,true,-0.098386,-0.24041,-0.014617,0.096826,-0.0061619,-0.001952,0.013464,-0.0064357,0.0064072,0.033401,-0.0019767,0.017715,-0.0073566,2.6096E-4,-0.0017766,0.0094563,-0.0018928,-0.0080319,4.5608E-4,0.011275
HG01705,1000 Genomes,IBS,EUR,male,true,true,-0.10064,-0.24586,-0.0096516,0.10287,-0.011385,0.0024701,0.0087141,-0.004266,0.0028076,0.031573,-0.0094111,0.011211,-0.0093332,0.0070476,-5.4022E-4,0.0057085,0.0084529,-0.008389,-0.0019214,0.0071639
HG01706,1000 Genomes,IBS,EUR,female,false,false,-0.10036,-0.24487,-0.011766,0.10029,-0.0054756,-8.1588E-4,0.0082639,-0.011529,0.0031428,0.029092,-0.0087597,0.01472,-0.0037738,0.0034369,0.0022299,0.0085472,0.0059417,-0.010498,0.0022033,-2.4711E-5
HG01707,1000 Genomes,IBS,EUR,female,true,true,-0.10489,-0.24491,-0.012989,0.10238,-0.012836,4.246E-4,3.8548E-5,-0.0102,0.0067056,0.031679,-0.010838,0.017033,5.2511E-4,0.0062665,-9.1974E-4,0.0066882,0.0077812,-0.0052951,-0.0017145,0.0010116
HG01708,1000 Genomes,IBS,EUR,male,true,true,-0.10341,-0.24173,-0.0084025,0.091537,-0.00564,0.0014902,0.0048434,-0.007374,0.0035144,0.024123,-0.0084364,0.010704,-0.0061013,-4.4948E-4,0.0049064,0.0096092,0.0053718,-0.01821,0.0064096,0.0020352
HG01709,1000 Genomes,IBS,EUR,male,true,false,-0.10068,-0.24361,-0.012821,0.096294,-0.0096479,-0.003766,0.012653,-0.0092757,0.0052062,0.027562,-0.011325,0.018692,-0.0071615,0.0034818,0.0030879,0.010115,0.001654,-0.0029675,0.0028339,0.0044347
HG01710,1000 Genomes,IBS,EUR,female,true,false,-0.10389,-0.24458,-0.0098501,0.099275,-0.010016,-3.9624E-4,0.0073885,-0.0086948,0.0089214,0.032235,-0.0055811,0.020447,-0.0068409,-6.5024E-4,-0.0022568,0.011351,0.0059617,-0.0048452,-0.0020135,0.0099988
HG01711,1000 Genomes,IBS,EUR,female,false,false,-0.10157,-0.24385,-0.0098632,0.097097,-0.0080338,-0.0029018,0.0088844,-0.0096776,0.0049202,0.028867,-0.0078013,0.021889,-0.0073809,7.2121E-4,0.0019329,0.0079763,0.0045365,-0.003166,0.0012377,0.010216
HG01746,1000 Genomes,IBS,EUR,female,true,false,-0.11115,-0.24801,-0.014464,0.10182,-0.013558,3.4974E-4,0.0052171,-0.0056377,0.0072318,0.033149,-0.012822,0.029925,-0.0026392,0.0048247,-0.0025607,0.011153,0.0091394,-0.015298,-0.0023621,0.013118
HG01747,1000 Genomes,IBS,EUR,male,true,false,-0.10852,-0.24816,-0.013293,0.095061,-0.0068406,9.2948E-4,0.0062583,-0.0059421,7.5513E-4,0.036253,-0.01405,0.023823,-0.0032526,0.0070736,0.0042152,0.0014776,0.0015868,-0.016374,0.0030718,0.0087971
HG01748,1000 Genomes,IBS,EUR,male,false,false,-0.11103,-0.24964,-0.014836,0.1032,-0.010172,-9.8227E-5,0.0083531,-0.0052816,0.0061059,0.038529,-0.014878,0.026789,-0.0020377,0.00297,0.0037707,0.006228,0.0062207,-0.019477,-0.0013353,0.012075
HG01755,1000 Genomes,IBS,EUR,female,false,false,-0.10013,-0.23905,-0.0080993,0.094754,-0.0057527,-0.0029364,0.014343,-0.005522,0.0092755,0.030054,-0.0095678,0.018384,-0.0067811,9.8305E-4,0.0010108,0.01041,0.0074749,-0.0091507,-0.0060289,0.0012258
HG01756,1000 Genomes,IBS,EUR,male,true,true,-0.10532,-0.24096,-0.0091908,0.099349,-0.0078337,-0.0026197,0.014658,-0.0069241,0.0073975,0.032363,-0.012008,0.021823,-0.0050071,-7.2613E-5,-0.0016333,0.0046125,0.010338,-0.011239,-0.0072878,0.0041513
HG01757,1000 Genomes,IBS,EUR,female,true,true,-0.10168,-0.24066,-0.007127,0.096834,-0.0044153,-0.001517,0.01713,-0.0021506,0.0078985,0.024264,-0.010436,0.019623,-0.0042795,0.0030306,0.0028068,0.011609,0.0048705,-0.01147,-0.0020264,0.0034607
HG01761,1000 Genomes,IBS,EUR,male,true,false,-0.10991,-0.24951,-0.013454,0.10245,-0.0085307,-2.1767E-4,0.0024379,-0.0082044,0.0044669,0.039732,-0.011281,0.024545,-0.0097091,0.002965,-0.0019159,0.014445,0.0038238,-0.0079812,0.0048745,0.0087288
HG01762,1000 Genomes,IBS,EUR,female,true,false,-0.10991,-0.24789,-0.011598,0.097354,-0.013148,-0.0011854,-0.0051802,-0.011727,0.0061998,0.029473,-0.0082244,0.017349,-0.0013194,0.0034851,0.0030801,0.0057201,0.0064548,-0.010786,-9.1761E-4,0.0072943
HG01763,1000 Genomes,IBS,EUR,female,false,false,-0.10931,-0.25077,-0.015186,0.10479,-0.010488,-0.0021706,-6.2994E-4,-0.0070182,0.0046572,0.034244,-0.00963,0.023226,-0.0051178,0.0040066,2.5544E-6,0.011574,0.0051555,-0.0098747,0.0017914,0.0089312
HG01765,1000 Genomes,IBS,EUR,male,false,false,-0.1068,-0.25038,-0.014685,0.098647,-0.012231,4.621E-6,0.0020816,-0.0070463,0.0089218,0.040547,-0.010088,0.022127,-0.0057924,-2.4366E-4,-0.0010925,0.010042,0.0064384,-0.012963,-2.3074E-4,0.0092407
HG01766,1000 Genomes,IBS,EUR,female,false,false,-0.10353,-0.24406,-0.011993,0.09485,-0.012656,-0.0014175,0.013099,-0.0030417,0.0045684,0.031808,-0.010779,0.02102,-0.0075255,8.1382E-5,0.0021545,0.013026,0.005242,-0.0145,0.0033919,-8.0292E-4
HG01767,1000 Genomes,IBS,EUR,male,false,false,-0.10133,-0.25007,-0.013281,0.09924,-0.0078367,-0.0037783,0.01601,-0.0067402,0.0013622,0.030444,-0.0058549,0.016786,-0.0020819,-9.5124E-4,-0.0018012,0.012174,0.010992,-0.0093654,-0.0021127,0.006178
HG01768,1000 Genomes,IBS,EUR,female,false,false,-0.10259,-0.23965,-0.013205,0.099673,-0.0064041,0.0021876,0.0099087,-0.0037987,0.0044952,0.033058,-0.010072,0.019197,-0.0068898,3.8058E-4,0.00441,0.0077755,0.0082216,-0.0086861,0.0015591,0.0034804
HG01770,1000 Genomes,IBS,EUR,female,true,false,-0.10731,-0.24647,-0.018599,0.097782,-0.0093922,-0.0023243,0.0035016,-0.0085783,0.0045802,0.031527,-0.010801,0.025497,-0.0036273,0.0053968,0.001586,0.010082,0.011811,-0.017622,-0.0054331,0.0068226
HG01771,1000 Genomes,IBS,EUR,male,true,false,-0.11584,-0.25033,-0.01435,0.098628,-0.0049679,-0.0025816,4.5162E-4,-0.0072595,0.0055356,0.035675,-0.011409,0.028668,-0.0020563,0.0078724,0.0038694,0.0073569,0.010228,-0.017668,-8.9028E-4,0.0077717
HG01772,1000 Genomes,IBS,EUR,female,false,false,-0.10857,-0.24861,-0.017726,0.10235,-0.0055446,-0.0041458,0.0037525,-0.0091959,0.0051918,0.033833,-0.0090554,0.027543,-0.0042056,0.0057301,0.0012499,0.0070843,0.012597,-0.017923,-0.0044281,0.0035514
HG01773,1000 Genomes,IBS,EUR,female,true,false,-0.11048,-0.24863,-0.014039,0.10037,-0.010089,0.0013953,0.0034439,-0.0075981,0.0065431,0.037955,-0.013227,0.023804,-0.0047637,0.0058076,6.6629E-4,0.0098979,0.0047365,-0.018733,5.7965E-4,0.0029918
HG01774,1000 Genomes,IBS,EUR,male,false,false,-0.11028,-0.24637,-0.012426,0.10146,-0.0079241,2.086E-4,0.0019041,-0.0082798,0.0044825,0.036154,-0.011951,0.024722,-0.0024162,0.0028975,6.6371E-4,0.010107,6.9045E-4,-0.01751,0.0071784,0.0047829
HG01775,1000 Genomes,IBS,EUR,male,true,true,-0.11221,-0.25249,-0.015735,0.099714,-0.0069778,-0.0011018,0.0016245,-0.0073237,0.0036956,0.029773,-0.010821,0.022114,-0.0020221,0.0015649,2.8687E-4,0.012298,0.0029904,-0.010736,0.0054053,0.0047019
HG01776,1000 Genomes,IBS,EUR,female,false,false,-0.11736,-0.24807,-0.01413,0.09707,-0.013831,0.001276,-0.0050952,-0.0075779,0.0057149,0.035301,-0.01296,0.02697,-0.0050952,0.0050919,-2.1773E-4,0.012661,0.0038181,-0.021074,-0.0022391,0.014698
HG01777,1000 Genomes,IBS,EUR,male,false,false,-0.11458,-0.24702,-0.012802,0.10336,-0.0083969,-0.0027362,-1.8131E-4,-0.0073047,0.0038211,0.036025,-0.012284,0.022376,-0.0030938,0.0037978,-2.7587E-4,0.0036617,0.0032292,-0.018254,0.0077174,0.0014226
HG01778,1000 Genomes,IBS,EUR,male,false,false,-0.1161,-0.24993,-0.015011,0.10262,-0.012467,-0.0015903,9.0197E-4,-0.0058871,0.0046179,0.036836,-0.013892,0.028799,-0.0029269,0.0029476,3.2372E-4,0.0074353,0.004792,-0.017503,0.0049302,0.01012
HG01779,1000 Genomes,IBS,EUR,female,true,false,-0.11366,-0.25208,-0.011228,0.10289,-0.0087462,-7.9449E-6,5.9996E-4,-0.010648,0.009296,0.032001,-0.0069708,0.015862,-0.001451,0.0058936,-9.6479E-4,0.0064634,0.0080219,-0.012966,-0.0017178,0.012174
HG01780,1000 Genomes,IBS,EUR,male,false,false,-0.11299,-0.24994,-0.014063,0.10473,-0.010395,8.0288E-4,0.0019598,-0.0083699,0.0067911,0.032973,-0.0064932,0.017438,-0.0068765,4.1785E-4,-0.0026764,0.011134,0.0032584,-0.012729,4.0972E-4,0.005716
HG01781,1000 Genomes,IBS,EUR,male,true,true,-0.11056,-0.24475,-0.012255,0.10105,-0.0087113,0.0016716,-6.1576E-5,-0.0051064,0.0058667,0.032174,-0.0081051,0.021396,-0.0097334,0.0022118,-9.7683E-4,0.010956,0.0060365,-0.015252,0.0021381,-0.0010958
HG01782,1000 Genomes,IBS,EUR,female,false,false,-0.10414,-0.24387,-0.013231,0.098929,-0.010331,-0.0020997,0.014126,-0.005072,0.0038194,0.035458,-0.0096871,0.012552,-0.0069606,0.0075517,0.0020047,0.0088661,0.0011349,-0.01688,0.0020189,-0.0021726
HG01783,1000 Genomes,IBS,EUR,male,true,true,-0.10218,-0.24421,-0.015054,0.097182,-0.0089548,-0.0031922,0.0087035,-0.0033654,0.0035166,0.035973,-0.0097688,0.012078,-0.0051707,0.0068476,0.0034403,0.0078086,0.0034251,-0.012038,-0.00289,-8.0039E-4
HG01784,1000 Genomes,IBS,EUR,female,true,true,-0.10342,-0.24351,-0.012106,0.099454,-0.011122,-0.0024535,0.0081362,-0.0081665,0.0084991,0.035549,-0.0090208,0.017479,-0.0069189,0.0041253,-0.0016006,0.014104,5.1776E-4,-0.016536,0.0060712,-0.0042709
HG01785,1000 Genomes,IBS,EUR,male,false,false,-0.11691,-0.25005,-0.014982,0.10171,-0.0059195,-0.0024612,-0.0087417,-0.0107,0.0053522,0.032651,-0.012527,0.015548,-0.0040116,0.0042519,2.6864E-5,0.010019,0.0054125,-0.012194,0.0017497,0.013003
HG01786,1000 Genomes,IBS,EUR,female,false,false,-0.1135,-0.248,-0.01096,0.093482,-0.014279,0.0052865,-0.0041671,-0.0042652,0.0060837,0.032573,-0.010502,0.015716,-0.0048863,0.0036147,0.0054716,0.011038,0.010395,-0.013604,-0.001352,0.0068209
HG01789,1000 Genomes,GBR,EUR,male,false,false,-0.12282,-0.24784,-0.019656,0.085807,-0.015335,7.8342E-4,-0.050459,-0.018108,-5.783E-4,-0.0054233,0.0019724,0.01283,-0.0015108,0.010271,-0.0034455,-5.2288E-4,0.0072715,-0.012262,-0.0029741,0.0090544
HG01790,1000 Genomes,GBR,EUR,female,false,false,-0.12371,-0.24767,-0.016965,0.086695,-0.0070605,0.0060246,-0.048769,-0.018887,0.0014709,0.0092994,0.0020779,0.0083068,-0.0038433,9.2638E-4,0.0011474,-0.010746,0.0038495,-0.0071645,-0.0034825,-0.003019
HG01791,1000 Genomes,GBR,EUR,male,false,false,-0.1209,-0.2486,-0.016069,0.085172,-0.0066343,0.0013688,-0.05035,-0.015119,-0.0015909,-0.0042751,-0.0048287,0.0074855,-0.0029107,0.004746,-0.002171,-0.0094082,0.0039581,-0.0063192,0.0065879,0.00558
HG01794,1000 Genomes,CDX,EAS,female,false,false,-0.19688,0.31389,0.044444,0.078759,0.0072967,-0.0012314,0.02818,-0.11462,-9.3689E-4,-0.017652,0.0092246,-0.010886,0.0037168,-0.0060309,0.0025225,0.0039664,0.0014896,0.0013584,-0.0073757,-9.1065E-4
HG01795,1000 Genomes,CDX,EAS,female,true,false,-0.19276,0.29893,0.043179,0.067717,0.001825,-0.0013543,0.024782,-0.090202,-1.4689E-4,-0.00762,0.0062979,-0.0062768,0.0012834,-0.0034541,-0.001065,0.003439,-5.9632E-4,-5.9405E-4,-0.0020352,3.7352E-5
HG01796,1000 Genomes,CDX,EAS,female,false,false,-0.19806,0.30635,0.043043,0.07273,0.0052803,-0.0018964,0.028688,-0.1103,-1.4936E-4,-0.015227,0.0043044,-0.0072949,-0.0018488,-0.0023302,2.1014E-4,0.0060462,-0.0010563,0.0047988,-0.0033436,-0.0029377
HG01797,1000 Genomes,CDX,EAS,female,false,false,-0.19421,0.30787,0.041157,0.072429,0.0044021,-0.0012961,0.029851,-0.12009,-4.9787E-4,-0.018887,0.0095155,-0.012228,0.0049356,-0.003949,2.3353E-4,-0.0020203,-0.0015578,0.0010442,0.0020573,5.717E-4
HG01798,1000 Genomes,CDX,EAS,female,false,false,-0.19718,0.30875,0.026391,0.073983,0.01021,0.0013958,0.0098882,-0.028843,0.0022191,-0.0049711,-0.0041662,7.0774E-4,-0.0030275,9.124E-4,1.1126E-5,0.0053731,0.0038777,-0.0035664,0.0011512,-0.0019955
HG01799,1000 Genomes,CDX,EAS,female,false,false,-0.19729,0.30733,0.042318,0.072203,0.011383,-0.0023502,0.029844,-0.11529,-0.0018258,-0.014505,0.0064413,-0.0082318,0.0030696,0.0040995,-0.002713,5.4327E-4,-0.0069875,0.0063554,-3.5326E-4,-0.0018063
HG01800,1000 Genomes,CDX,EAS,female,false,false,-0.19557,0.30715,0.039273,0.074388,0.0059156,-6.2946E-5,0.030865,-0.10959,-0.0028973,-0.014017,0.0053558,-0.0099518,0.0021665,0.002192,0.0062359,0.0071494,-0.0034832,0.0036776,-0.008363,8.0572E-4
HG01801,1000 Genomes,CDX,EAS,female,false,false,-0.19212,0.3028,0.042223,0.072566,0.0036282,-0.0013166,0.030896,-0.11309,6.0212E-4,-0.017839,0.0038017,-0.0098159,-0.0010994,-0.0021541,1.2801E-4,0.0016315,-0.0040609,0.0035856,5.5012E-4,-0.0029507
HG01802,1000 Genomes,CDX,EAS,female,false,false,-0.19231,0.31,0.038945,0.070789,0.00494,-0.0043952,0.023817,-0.10021,2.7713E-4,-0.012133,0.0058481,-0.014136,0.0010558,-0.0047185,-0.002405,0.0064004,-0.0014665,-0.0070414,0.0010401,-0.0012064
HG01804,1000 Genomes,CDX,EAS,female,false,false,-0.19356,0.30456,0.040682,0.070083,0.0027163,-6.0157E-4,0.025701,-0.11084,-0.0023205,-0.016589,0.0063974,-0.0093899,0.0027465,-0.0066401,0.0022611,0.0035084,0.0030041,-0.0016925,0.001882,-0.0026957
HG01805,1000 Genomes,CDX,EAS,female,false,false,-0.19383,0.31083,0.043479,0.077192,0.0034816,7.8118E-4,0.031022,-0.10693,0.0033693,-0.015149,0.0071509,-0.010619,0.0020454,-0.0053944,1.8841E-4,0.0088458,0.001923,-0.0031178,0.0038651,-0.0019747
HG01806,1000 Genomes,CDX,EAS,female,false,false,-0.19221,0.30891,0.040969,0.080182,0.0077785,-0.0046622,0.031316,-0.1103,-0.0019647,-0.015129,0.0070106,-0.0057935,0.0032592,-0.0014327,-0.0028752,0.0082256,0.0016801,0.0015378,-0.003724,-0.0030297
