ind,pop,super_pop,gender,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
HG01551,CLM,AMR,female,0.00236421,1.5326e-4,0.0248511,0.0355457,0.00520504,0.00322445,-0.00957592,-0.0183517,-0.007348,0.0548258
HG01556,CLM,AMR,male,0.00153384,0.00616259,0.0125668,0.0183528,0.00372506,0.014813,-0.0015347,-0.00104378,0.0174695,-0.0308006
HG01565,PEL,AMR,male,-0.0129731,0.00274431,0.0297971,0.0534808,0.00301362,0.00673513,-0.0113864,-0.027391,0.0128877,-0.0114486
HG01566,PEL,AMR,female,-0.0117232,0.0077453899999999996,0.0318988,0.0415581,0.012472,0.0117118,-0.00291117,-0.0170024,-0.0200789,-0.00995233
HG01571,PEL,AMR,male,-0.0142786,-0.00477488,0.0382845,0.0728809,0.00482631,0.00493527,-0.00786472,-0.0134857,0.0183975,-0.00605076
HG01572,PEL,AMR,female,-0.0155301,-0.0134913,0.046484,0.101401,-0.00644232,-0.00181193,-0.00875943,-0.012051,0.0259643,-0.0202167
HG01577,PEL,AMR,male,-0.0132458,0.00398418,0.0354448,0.0489249,0.00374927,-0.0120402,0.00494869,0.0169967,0.018582,0.0109705
HG01578,PEL,AMR,female,-0.0118452,0.00853008,0.0259761,0.0361482,-0.0046228,-0.011215,-8.96407e-4,0.0121037,0.041218,-0.0335713
HG01583,PJL,SAS,male,-0.0107946,0.0111826,-0.0288063,0.00965859,0.00544504,-1.27318e-4,-3.66541e-4,-0.00375203,-0.0347118,-0.0158173
HG01586,PJL,SAS,male,-0.00958905,0.0113843,-0.0273015,0.00838973,0.00481391,-0.00239055,-0.0137421,-0.0127901,0.020653,0.0250995
HG01589,PJL,SAS,male,-0.0111037,0.0130411,-0.0183922,0.0131926,0.00656156,0.0121026,0.0101001,-0.00930998,-0.0349678,0.0208855
HG01593,PJL,SAS,female,-0.0110479,0.00906559,-0.0338406,0.00822643,-0.00805795,0.0111353,-0.00795367,-0.00358868,-0.0199185,-0.0101435
HG01595,KHV,EAS,female,-0.0160792,-0.0336466,0.00555845,-0.0170444,0.0265857,-0.009068,-0.0121989,-0.00478909,0.0193899,-0.00344721
HG01596,KHV,EAS,male,-0.0154991,-0.0274459,-1.6409e-4,-0.0188721,0.0375597,-0.0100837,0.00395478,-0.00296285,-0.00995224,0.0328525
HG01597,KHV,EAS,female,-0.0165792,-0.0337397,0.0082202,-0.0153116,0.0481325,-0.0183987,-0.0039502,-0.00795603,-0.023026,-0.0243978
HG01598,KHV,EAS,female,-0.0166142,-0.0332638,0.0051179,-0.015686,0.034106,-0.0053116,-0.0174442,0.00340322,0.00971649,0.0180156
HG01599,KHV,EAS,female,-0.0157702,-0.0337404,0.00712098,-0.0164942,0.0343159,-0.0128068,-0.00518794,0.0153219,0.0233185,0.0141685
HG01600,KHV,EAS,female,-0.0167842,-0.0338665,0.00740222,-0.014571,0.0394544,-0.0191017,-0.00884615,0.00572769,0.0280836,0.00445313
HG01602,IBS,EUR,female,-0.0106299,0.0254209,0.0112276,-0.0199178,0.0133861,0.0274377,-0.0205708,-0.00729828,-0.0123759,0.0331709
HG01603,IBS,EUR,male,-0.00862487,0.0257748,0.0114844,-0.0160216,-0.00154546,0.0253686,-0.0227293,0.00863244,-0.00292054,-0.011134
HG01605,IBS,EUR,female,-0.0113887,0.027623,0.0107912,-0.0160353,0.0101675,0.0232414,-0.0226156,0.00917441,-0.012648,0.0331582
HG01606,IBS,EUR,male,-0.0106831,0.0260817,0.0142736,-0.022524,-3.5884e-4,0.0292038,-0.014806,6.07385e-4,-0.00253439,0.0296369
HG01607,IBS,EUR,female,-0.010337,0.0281924,0.0091708,-0.0198547,0.0105127,0.0252835,-0.0173922,-0.00271076,-6.23773e-4,0.015398
HG01608,IBS,EUR,male,-0.00977882,0.025870400000000002,0.01302,-0.0151826,0.00346771,0.0269179,-0.0118146,-5.21584e-4,-0.010721,0.0187069
HG01610,IBS,EUR,male,-0.0085095,0.0260275,0.0118183,-0.0222242,0.00846855,0.0222966,-0.020936,0.0041514,0.0228745,0.00476531
HG01612,IBS,EUR,female,-0.0103444,0.0255775,0.00934796,-0.0167762,-0.00136004,0.0128181,-0.019792,-0.00846807,0.030818,-0.0114636
HG01613,IBS,EUR,female,-0.00965575,0.0251167,0.00788591,-0.016126,0.0142779,0.0302934,-0.0260756,0.012104,-0.0121582,0.00972519
HG01615,IBS,EUR,male,-0.00954738,0.0290051,0.0161855,-0.0161496,0.0120413,0.0328819,-0.0218584,0.0154932,-0.0385987,0.0200156
HG01617,IBS,EUR,male,-0.0101616,0.0276273,0.013382,-0.015082,0.0151876,0.0262229,-0.00677459,-0.0101087,-0.0359426,-0.00209153
HG01618,IBS,EUR,female,-0.00989996,0.0264858,0.0113806,-0.0151332,0.00854652,0.0440029,-0.0314345,0.0146893,0.00622015,0.026873
HG01619,IBS,EUR,male,-0.0112734,0.0267948,0.0115404,-0.0137234,0.00230646,0.033224,-0.0168633,9.38986e-4,-0.00390497,0.0108026
HG01620,IBS,EUR,female,-0.00998073,0.0252026,0.0141546,-0.0204025,0.0031577,0.0336083,-0.0282829,-0.00605897,-2.98811e-4,0.00991569
HG01623,IBS,EUR,female,-0.0113273,0.02648,0.0129154,-0.0178739,0.00186743,0.0272509,-0.0197647,-0.00795704,-0.00499301,-5.59464e-4
HG01624,IBS,EUR,male,-0.00978343,0.0274916,0.0122891,-0.0179797,0.00791091,0.0303511,-0.0231349,0.0044645,-0.0241048,-0.0112564
HG01625,IBS,EUR,male,-0.010917,0.0283731,0.0134115,-0.0186384,-0.00595886,0.0287526,-0.0353872,2.33227e-4,0.025765,2.25015e-4
HG01626,IBS,EUR,female,-0.00976021,0.0247354,0.0137691,-0.0168789,0.0167413,0.0292209,-0.0297189,-0.00143101,-0.0357016,0.0176769
HG01628,IBS,EUR,female,-0.0089449,0.0249423,0.0104584,-0.0142306,-0.00254839,0.0346459,-0.0211374,-0.00826592,0.00276959,-0.0255316
HG01630,IBS,EUR,male,-0.00737171,0.0266821,0.00997898,-0.0208409,3.62504e-6,0.0249875,-0.0154404,-8.08458e-4,-0.0416749,-0.046287
HG01631,IBS,EUR,male,-0.010566,0.0289296,0.0146042,-0.0181162,0.00171169,0.00806262,-0.0259026,0.0222737,0.0510411,-0.0155553
HG01632,IBS,EUR,female,-0.0104295,0.0265631,0.0127161,-0.02244,0.00731615,0.0110108,-0.0175816,0.0289362,0.0182668,-0.0146443
HG01668,IBS,EUR,female,-0.00892179,0.0275689,0.0129774,-0.0192844,0.00117873,0.0222664,-0.0184833,-0.00312051,0.0430141,-0.00808934
HG01669,IBS,EUR,male,-0.00933083,0.0262135,0.0171223,-0.0106838,0.00875272,0.0221279,-0.00628946,-0.00910306,-0.0302533,0.0108384
HG01670,IBS,EUR,female,-0.0103967,0.0281927,0.0124267,-0.017046,0.014548,0.0274537,-0.0118497,0.00512916,-0.0289267,0.00601975
HG01672,IBS,EUR,male,-0.0108093,0.0275044,0.00652649,-0.0162458,-0.00228094,0.0186233,-0.0148661,-0.00792901,-2.30834e-4,3.8951e-4
HG01673,IBS,EUR,female,-0.00988956,0.024476,0.015984,-0.0187558,-0.00583494,0.00119595,-0.0020678,0.0285636,0.0154728,-0.0430183
HG01675,IBS,EUR,male,-0.0110999,0.0271325,0.0118659,-0.0227592,-7.39373e-4,-0.0099828,0.0045917,0.0192656,0.00274483,0.00429685
HG01676,IBS,EUR,female,-0.0107202,0.0296898,0.0168657,-0.023234,0.0107301,-0.00613561,0.0132668,0.0184488,-0.0250425,-0.0197069
HG01678,IBS,EUR,male,-0.0111383,0.0258771,0.0145683,-0.0218554,0.00490457,-0.021244,0.0146418,6.84013e-4,0.00333341,0.0113882
HG01679,IBS,EUR,female,-0.00976215,0.0265196,0.0133384,-0.0217841,0.0106174,-0.00313697,-0.00317966,0.0273509,0.00133484,0.0072984
HG01680,IBS,EUR,male,-0.00930286,0.0275755,0.0158067,-0.0212527,-0.00201382,-0.0128909,0.00186965,0.0131433,0.0382176,-0.0350164
HG01682,IBS,EUR,male,-0.00995455,0.0266875,0.0097875,-0.0180533,0.0073496,-0.0227817,0.0089042,0.0112767,-0.0240326,-0.0265095
HG01684,IBS,EUR,female,-0.0111843,0.0284472,0.0151081,-0.0235897,0.0109532,0.00135237,-0.00887976,0.0153524,0.0254109,-0.00496645
HG01685,IBS,EUR,female,-0.0103124,0.0268688,0.0133416,-0.0168449,0.00592387,-0.0137633,0.00543156,0.0224599,-4.08099e-4,0.0172802
HG01686,IBS,EUR,male,-0.0092439,0.0273268,0.0115927,-0.0169272,0.0221204,-0.0272954,0.00318978,0.0172006,-0.0349466,-8.61468e-4
HG01694,IBS,EUR,male,-0.0073002299999999996,0.0230057,0.0122025,-0.020836,0.012833,0.00387403,-0.0032849,0.0358852,0.0109015,-0.0138826
HG01695,IBS,EUR,female,-0.00897323,0.0244999,0.0119505,-0.0209746,0.0215338,-0.0145492,-0.00784434,0.0247385,-4.91681e-4,-8.96893e-4
HG01697,IBS,EUR,female,-0.0073772,0.0229199,0.00621566,-0.00909096,0.00953059,0.0167347,0.0114838,-0.00266761,-0.0332293,0.0332685
HG01699,IBS,EUR,male,-0.00897349,0.0268746,0.0136708,-0.0152914,0.00479843,0.0258008,-0.018629,0.00444112,-0.00447969,0.0336275
HG01700,IBS,EUR,male,-0.0106778,0.0256521,0.0146479,-0.0159502,0.0150159,-0.00520071,0.0137629,0.0248133,-0.0189741,0.00186818
HG01702,IBS,EUR,female,-0.0112299,0.0287194,0.0080442,-0.0181715,0.0345853,-0.0131413,0.00942582,0.020067,-0.0147303,-0.00338321
HG01704,IBS,EUR,female,-0.008425,0.0266633,0.0136471,-0.018162,0.0137778,0.0253841,7.27063e-4,0.0229525,-0.0301762,-0.0138637
HG01705,IBS,EUR,male,-0.00886844,0.0266664,0.0162892,-0.0177958,0.00142005,0.027734,-0.0209107,0.0375848,0.0247982,-0.0239997
HG01707,IBS,EUR,female,-0.00972571,0.0266232,0.0149647,-0.0182927,-8.96245e-5,0.0178321,-0.00864855,0.0351378,0.00265716,-0.00120155
HG01708,IBS,EUR,male,-0.00976365,0.0265476,0.00649146,-0.0195371,0.0104643,0.0115894,-0.00547384,0.0280019,-0.0370869,0.00602892
HG01709,IBS,EUR,male,-0.00838515,0.0272361,0.00858872,-0.0166464,0.0121013,0.00464769,0.00193784,0.00840179,-0.0269255,0.0278138
HG01710,IBS,EUR,female,-0.00865885,0.0256775,0.0109317,-0.0195456,0.0140322,0.0140921,-0.0193368,0.0216187,0.0330654,-0.0112268
HG01746,IBS,EUR,female,-0.0104156,0.0262363,0.0104618,-0.019899,0.0110941,0.0123095,-0.00261835,0.0288731,0.0024841,7.55836e-4
HG01747,IBS,EUR,male,-0.00970722,0.0265147,0.0137668,-0.0181814,0.00989287,0.00777618,-0.0139554,0.0181692,-0.00471083,0.0236268
HG01756,IBS,EUR,male,-0.00736906,0.0246376,0.0139197,-0.0169364,0.0130681,0.0352517,-0.0284911,0.0167206,0.0322034,0.031805
HG01757,IBS,EUR,female,-0.00950072,0.0244869,0.0106186,-0.0123456,0.00734268,0.031646,-0.0381712,0.0230474,0.0132812,0.0231252
HG01761,IBS,EUR,male,-0.00917564,0.0269809,0.0103245,-0.0166233,0.0129911,0.0373034,-0.0218476,0.025362,-0.0448621,0.0358222
HG01762,IBS,EUR,female,-0.00769709,0.0253079,0.012856,-0.0200269,0.0115179,0.0243332,-0.0141696,0.00715819,-0.0359051,0.00862101
HG01765,IBS,EUR,male,-0.0088884500000000009,0.0278056,0.00883933,-0.0186875,0.0144851,0.0226143,0.00326881,-0.00390962,4.77314e-4,0.00635836
HG01766,IBS,EUR,female,-0.00926571,0.0266786,0.0097632,-0.0166631,0.0115386,0.0433578,-0.00478309,0.0244057,7.31441e-4,-0.0203014
HG01767,IBS,EUR,male,-0.00923141,0.0253266,0.0106136,-0.00923386,0.0120593,0.0177842,0.00680528,-0.00202151,-0.0247335,-0.00821495
HG01768,IBS,EUR,female,-0.00954835,0.0267356,0.00976904,-0.0173052,0.00780426,0.0238406,0.0102654,0.0075201,0.00653093,-0.0481979
HG01770,IBS,EUR,female,-0.00880909,0.0272807,0.00870742,-0.018179,0.00658937,0.0200414,-0.0229255,0.00987118,-0.00291977,-0.0227654
HG01771,IBS,EUR,male,-0.00855745,0.026933,0.0119249,-0.0140442,-0.00122363,0.0330076,-0.00678412,0.00152982,-0.00191753,0.0133698
HG01773,IBS,EUR,female,-0.0103776,0.0271578,0.0113635,-0.014912,0.0127697,0.0263453,-0.0140145,0.00603326,-0.0299779,0.0102726
HG01775,IBS,EUR,male,-0.0101787,0.0254036,0.00922019,-0.0227936,0.0138924,0.0225687,-0.0131782,-6.13083e-4,-2.68729e-4,0.0178698
HG01776,IBS,EUR,female,-0.0125494,0.0276629,0.0134311,-0.0166432,0.00522689,0.023714,-0.0199581,-0.00294342,0.00547908,0.0191124
HG01777,IBS,EUR,male,-0.0102458,0.0283082,0.0109013,-0.0183448,0.00541411,0.0196412,-0.0170854,-0.0158612,-0.00264705,-0.0162989
HG01779,IBS,EUR,female,-0.00915219,0.0270008,0.0123446,-0.0215096,-0.00820124,0.0325572,-0.0198126,0.0114221,0.0257847,0.00840552
HG01781,IBS,EUR,male,-0.0102616,0.0256775,0.0120908,-0.0199737,0.00978315,0.0266388,-0.0290736,-0.00535642,0.00261287,-0.00350272
HG01783,IBS,EUR,male,-0.00832844,0.0274452,0.00736058,-0.0134448,7.55506e-5,0.0270664,-0.0174157,0.00182237,0.00554869,-0.0364037
HG01784,IBS,EUR,female,-0.00927435,0.0252803,0.0120911,-0.0147093,0.0202386,0.0365334,-0.00885837,0.00996258,-0.0246857,0.0168536
HG01785,IBS,EUR,male,-0.0112557,0.0286447,0.0112717,-0.0162392,0.00854839,0.0234341,0.00301099,-0.0156621,-0.0361069,-0.0144606
HG01786,IBS,EUR,female,-0.010915,0.0275452,0.0101836,-0.0187772,-2.81808e-4,0.0352616,-0.0369424,0.00236084,0.0313566,-0.0100368
HG01789,GBR,EUR,male,-0.0113164,0.0253383,0.0141472,-0.0136045,-0.0013952,0.00992112,-0.0117266,-0.0375852,0.0176784,-0.00803347
HG01790,GBR,EUR,female,-0.0101088,0.0261496,0.0124937,-0.0148983,-0.00247883,0.0115349,0.00877871,-0.0258004,-0.00336641,-0.0207949
HG01791,GBR,EUR,male,-0.00966564,0.0270244,0.0133671,-0.0191943,-0.0244746,-0.0010505,-4.11703e-4,0.00411683,0.0439841,-0.0297272
HG01794,CDX,EAS,female,-0.0169583,-0.0348687,0.0101367,-0.01803,0.0331873,-0.0290888,9.93976e-5,-0.00343201,0.0297706,0.00953036
HG01795,CDX,EAS,female,-0.0165263,-0.0343307,0.00668227,-0.0176376,0.0470574,-0.0249059,-0.00478846,0.00866034,0.00549551,-0.0110847
HG01796,CDX,EAS,female,-0.0162184,-0.0320481,0.00568958,-0.0178868,0.0483562,-0.0185515,0.00416996,0.0101643,0.00234187,-0.0115916
HG01797,CDX,EAS,female,-0.0156786,-0.0338585,-0.0018102,-0.0136168,0.0544232,-0.0243639,-0.00267852,0.00525978,-0.00642198,0.00258499
HG01798,CDX,EAS,female,-0.0166865,-0.0343535,0.00263132,-0.0158729,0.0142712,-0.0215569,0.00438701,4.44409e-5,0.0164025,0.0201636
HG01799,CDX,EAS,female,-0.0166772,-0.035547,0.00313755,-0.0186195,0.0437909,-0.0202682,-0.00421,0.0111604,0.0227232,-0.0227722
HG01800,CDX,EAS,female,-0.0158408,-0.0337812,0.00625558,-0.0164097,0.0580189,-0.014704,-0.0159418,0.014122,0.0234597,-0.00903486
HG01801,CDX,EAS,female,-0.0167028,-0.0352369,0.00664463,-0.0163481,0.0320732,-0.0129456,-0.00304214,-0.00359963,0.0114024,0.0199957
HG01802,CDX,EAS,female,-0.0167721,-0.0353595,0.00534712,-0.0181022,0.0375736,-0.0238289,0.00505157,0.00810776,-0.00146216,0.0238311
HG01804,CDX,EAS,female,-0.0155144,-0.0332431,-3.03504e-4,-0.0229053,0.0405957,-0.0274299,-0.0119562,-0.0019328,0.0202525,0.0048189
HG01805,CDX,EAS,female,-0.0164223,-0.0349527,0.00479212,-0.018228,0.0312259,-0.0174952,-0.00310831,0.00819628,0.0199307,0.013073
HG01806,CDX,EAS,female,-0.0163112,-0.0336108,0.00397459,-0.0157851,0.0393631,-0.0236459,-0.00147669,0.00330763,0.0236999,-0.0146299
HG01807,CDX,EAS,female,-0.0166805,-0.0350937,0.00468184,-0.0169937,0.0400083,-0.0323874,-0.0145641,0.0117954,0.0165772,0.0224906
HG01808,CDX,EAS,female,-0.0156878,-0.0352693,0.00125336,-0.0220852,0.0401319,-0.0160758,-0.00696939,0.0139397,0.0277438,-0.0386144
HG01809,CDX,EAS,female,-0.0168073,-0.0328457,0.00385388,-0.0199821,0.0306007,-0.016185,0.00202771,0.00633563,0.0204959,-0.00789443
HG01810,CDX,EAS,male,-0.0157881,-0.0325607,0.00362319,-0.0187892,0.0413731,-0.0210796,-5.74451e-4,0.00850393,0.0238589,-0.00420493
HG01811,CDX,EAS,male,-0.0168106,-0.0326866,0.0074367,-0.0177425,0.0551368,-0.0273066,-0.00192442,0.00558086,0.00160928,-0.00143652
HG01812,CDX,EAS,female,-0.0149437,-0.0329075,0.00626004,-0.0154647,0.0479699,-0.0232257,-0.00214665,0.001052,-0.00963122,0.00938277
HG01813,CDX,EAS,female,-0.0163544,-0.033767,0.00769583,-0.0125204,0.0408139,-0.0256123,-0.00407298,0.0146035,0.029085,0.0232763
HG01815,CDX,EAS,female,-0.0166211,-0.0345445,0.00785688,-0.0171608,0.0400675,-0.0236661,0.00165216,0.00770536,0.0318557,-0.00946037
HG01816,CDX,EAS,male,-0.0169938,-0.0333382,0.00477893,-0.0185923,0.0394255,-0.0297319,9.24318e-4,0.00916793,-0.00429232,-0.00733109
HG01817,CDX,EAS,female,-0.0155366,-0.034195,0.00503059,-0.0237104,0.0523107,-0.0230366,-0.00905518,0.0040769,0.0124977,-7.22898e-4
HG01840,KHV,EAS,male,-0.016157,-0.030989,0.00243774,-0.0159577,0.0311944,-0.0321856,0.00438215,0.0129417,0.00241196,-0.00805373
HG01841,KHV,EAS,female,-0.0151266,-0.0322308,0.00558305,-0.0114037,0.0449471,-0.0309823,-0.0204775,0.0135878,0.0228504,0.016555
HG01842,KHV,EAS,male,-0.0161561,-0.0317652,0.0056252,-0.0173539,0.0391466,-0.0251616,-0.00106036,0.00655455,0.0210788,0.0146236
HG01843,KHV,EAS,female,-0.0144778,-0.0313343,0.00489778,-0.0176807,0.0333574,-0.0200118,-2.18448e-4,0.00739761,-0.0117616,-0.0159172
HG01844,KHV,EAS,male,-0.0160888,-0.0355522,0.00257784,-0.0158555,0.0313828,-0.021135,0.00284598,0.00675892,0.0256907,-1.50479e-4
HG01845,KHV,EAS,female,-0.0142433,-0.0344213,0.00597871,-0.016963,0.0332289,-0.0222935,0.00783869,0.0147714,-0.00424046,-0.00829055
HG01846,KHV,EAS,male,-0.0152749,-0.0323298,0.00810218,-0.014784,0.0172106,-0.0261177,-0.00180216,0.0194861,0.0206812,0.0186931
HG01847,KHV,EAS,female,-0.0159344,-0.0333552,0.00443674,-0.0160974,0.0438225,-0.020992,-0.00930428,0.00980664,0.00704629,-0.0200435
HG01848,KHV,EAS,female,-0.0153813,-0.0357109,0.00325721,-0.01895,0.0212681,-0.0238988,0.00116534,0.00218893,0.02157,-0.0052182
HG01849,KHV,EAS,male,-0.0163899,-0.033263,0.00728128,-0.0189469,0.0427938,-0.0174232,6.72648e-4,0.0175965,-0.00628928,0.0130374
HG01850,KHV,EAS,female,-0.0159271,-0.0331317,0.00726599,-0.0087247,0.0276383,-0.0221795,0.0199571,0.00818274,-0.0275643,0.0242186
HG01851,KHV,EAS,female,-0.0161295,-0.0318039,0.00494176,-0.0162497,0.0211837,-0.0235967,0.00193965,0.0139599,0.017627,-0.0231031
HG01852,KHV,EAS,male,-0.0162063,-0.0332184,0.00368603,-0.0157755,0.0362006,-0.0302652,0.00811807,0.00759725,-0.00665906,-0.0135904
HG01853,KHV,EAS,female,-0.016054,-0.0339349,0.00123477,-0.0215897,0.0327931,-0.0270882,-0.00849539,0.0132374,0.0127402,0.00484433
HG01855,KHV,EAS,female,-0.0164245,-0.0346017,0.00402683,-0.018219,0.0314986,-0.0275703,-0.00669687,0.0123465,0.0166386,-0.017333
HG01857,KHV,EAS,female,-0.0169892,-0.0325622,0.00518902,-0.0144281,0.0266065,-0.024529,0.00581443,0.0169863,0.0149103,0.0256712
HG01858,KHV,EAS,female,-0.0145642,-0.0340357,0.00475595,-0.0144826,0.0455835,-0.0279659,0.0140939,4.94166e-4,-0.0390933,-7.11704e-4
HG01859,KHV,EAS,female,-0.0166713,-0.0313312,0.00763007,-0.0155785,0.0397853,-0.0294873,0.00261658,0.00880491,-0.0136384,0.0275911
HG01860,KHV,EAS,male,-0.0163451,-0.0322359,0.00233044,-0.0159549,0.0507184,-0.00840561,-0.0172268,0.00405708,0.0184753,-0.00150186
HG01861,KHV,EAS,male,-0.016106,-0.032975,0.00319867,-0.0112676,0.0394025,-0.0192186,-0.0149775,-0.00251147,0.00101568,0.00452364
HG01862,KHV,EAS,female,-0.0154566,-0.0333996,0.00189272,-0.0122307,0.0149589,0.00511901,-0.00423529,0.00638639,0.0159487,-0.00370302
HG01863,KHV,EAS,female,-0.0149809,-0.0324593,-6.60598e-4,-0.0132584,0.0181426,2.58157e-5,-2.08714e-4,-6.68636e-4,0.0221898,-0.029087
HG01864,KHV,EAS,male,-0.0155124,-0.0338603,0.0032782,-0.0162569,0.0202939,0.00981238,-0.00451409,0.00522223,-0.00392893,-0.02375
HG01865,KHV,EAS,male,-0.0150331,-0.0327191,0.00142793,-0.0135158,0.0289178,0.00361997,-0.0159348,0.00753473,0.0149566,0.0307555
HG01866,KHV,EAS,male,-0.0152041,-0.0317888,0.00123957,-0.0114678,0.0274643,-7.9163e-4,-0.00751642,0.00654845,0.0033472,0.00902322
HG01867,KHV,EAS,male,-0.0164034,-0.033287,0.00136703,-0.0129074,0.047207,-0.00873024,-0.00580441,0.00126421,-0.0182846,0.0330614
HG01868,KHV,EAS,female,-0.0156838,-0.0311522,0.00162891,-0.0134976,0.05058,-0.00697001,-0.00802339,-0.00372852,-0.0204334,-0.0214097
HG01869,KHV,EAS,female,-0.0157636,-0.0342872,0.00139566,-0.0151106,0.0281112,0.00128308,-0.00751295,-0.017101,0.0214043,-0.00809176
HG01870,KHV,EAS,female,-0.0154798,-0.0324862,0.00194697,-0.0151891,0.0488643,0.0200707,-0.0152414,-0.00387913,-0.0147856,0.0164544
HG01871,KHV,EAS,female,-0.0142751,-0.0322272,0.00441422,-0.013824,0.0287736,0.0221146,-0.0124596,-0.0038719,-0.0173984,0.0101173
HG01872,KHV,EAS,male,-0.015297,-0.028912,8.07811e-4,-0.00856464,0.0222468,0.0191574,-0.00924878,-0.00848546,-0.0100655,0.00348645
HG01873,KHV,EAS,male,-0.0152717,-0.0339062,0.00800383,-0.0163726,0.0120741,0.0335763,-0.00674845,-0.00668361,0.0105699,0.0298792
HG01874,KHV,EAS,female,-0.0144247,-0.0316371,-2.85608e-5,-0.00684521,0.0268155,0.020903,-0.0176064,-0.00927849,0.0133162,0.0398853
HG01878,KHV,EAS,female,-0.0148424,-0.0315884,-0.00112632,-0.0145354,0.0406759,0.00794096,-0.0154624,-0.0143698,-0.0205901,0.032354
HG01879,ACB,AFR,male,0.0273962,-0.00162956,0.00783298,-0.00417412,-0.0178753,-0.0356671,-0.0108295,0.0140923,0.031496,-0.0171772
HG01880,ACB,AFR,female,0.0115736,-3.55333e-4,-0.0128662,0.00221954,-0.00689517,-0.0441232,-0.00140469,0.0165915,0.0242995,-0.0152175
HG01882,ACB,AFR,male,0.0320264,-0.00525171,0.00340892,-0.00434084,-0.00675405,-0.028814,-0.00547506,0.00781539,-0.0241603,-0.0279305
HG01883,ACB,AFR,female,0.0318225,-0.00499419,0.00280823,-0.00215288,-0.00288852,-0.0331995,-0.0146013,0.00137304,0.0263406,-0.0174266
HG01885,ACB,AFR,male,0.0317362,-0.002044,0.00364218,-9.66261e-4,-0.0102825,-0.0171564,-0.0203557,0.00944634,0.0160702,-0.0154223
HG01886,ACB,AFR,female,0.0333767,-0.00415638,0.00386453,-0.00266607,-0.00759442,0.0124792,0.0083826,-0.00657688,1.52386e-4,0.0150735
HG01889,ACB,AFR,female,0.0344476,-0.00392352,0.00290609,-6.59527e-4,0.00516866,0.00182773,-0.00304489,-0.00939541,-0.0306245,0.0189354
HG01890,ACB,AFR,male,0.0322533,-0.00366521,0.00457848,-0.00223534,0.0045155,0.0107519,0.00825616,-0.0146534,-0.0243021,-0.00203764
HG01892,PEL,AMR,male,-0.0129878,-0.00789848,0.035631,0.0735354,0.00940628,-0.0370906,0.0201799,0.00656881,0.00729233,0.00236502
HG01893,PEL,AMR,female,-0.003011,0.00124902,0.0242042,0.0404309,0.00519319,-0.0400588,-0.00897832,0.0232707,0.0360628,-0.0474876
HG01894,ACB,AFR,female,0.0266557,5.50875e-4,0.00142749,-0.00294031,0.00258971,-0.00298551,-0.00817889,-0.00509738,0.0118044,0.00415913
HG01896,ACB,AFR,female,0.0342119,-0.00475655,0.00356634,-0.00466133,0.0120042,-0.037155,0.00335992,0.0234178,0.00287375,-0.00531137
HG01912,ACB,AFR,male,0.0322301,-0.00207649,7.81182e-4,0.00192826,0.0104482,-0.0031858,-0.00772183,-0.0135219,-0.0191286,0.0256503
HG01914,ACB,AFR,male,0.0308219,-0.00336258,0.00614597,-0.00645957,0.00255642,-0.0398089,-0.00181028,0.0188964,0.0319577,-0.00239071
HG01915,ACB,AFR,female,0.0329692,-0.00236496,0.00505113,-0.00703838,0.00209407,-0.0415495,-0.0102848,0.0251445,0.00257041,0.00474869
HG01917,PEL,AMR,male,-0.0140088,-0.00693926,0.0402055,0.0797367,0.00467583,-0.0422061,0.00301529,0.00503995,0.0406446,0.00440894
HG01918,PEL,AMR,female,-0.0135173,2.89016e-4,0.0313109,0.0622778,0.0118568,-0.0334852,0.0202694,0.0204808,-0.00109644,-0.0318418
HG01920,PEL,AMR,male,-0.0157547,-0.0144878,0.04386,0.0997667,0.0081195,-0.0470015,0.0122443,0.00135357,0.0370459,-0.0144063
HG01921,PEL,AMR,female,-0.013921,-6.19405e-4,0.0353376,0.061251,0.0188084,-0.0403387,0.0160361,0.00944576,-0.0105302,0.00510093
HG01923,PEL,AMR,male,-0.0164698,-0.00920301,0.0410547,0.0839351,0.00168983,-0.0220582,0.00331153,0.00234955,0.052136,-0.00516888
HG01924,PEL,AMR,female,-0.0104197,-0.0054579,0.0353301,0.0709848,0.0121423,-0.0305128,0.00511207,-0.00176419,0.0275457,0.00368969
HG01926,PEL,AMR,male,-0.0138339,-0.0129354,0.0428054,0.0946826,0.00845972,-0.0203359,0.00348433,-0.00118115,-0.00450559,0.00750549
HG01927,PEL,AMR,female,-0.0154537,-0.0104531,0.0420702,0.0894902,-0.00196633,-0.0192714,0.00807244,-0.0115743,0.0158161,0.00113685
HG01932,PEL,AMR,male,-0.0139047,-0.00476377,0.0349037,0.072384,0.00964922,-0.00714327,-7.35224e-4,0.00177457,-0.0112958,0.0014186
HG01933,PEL,AMR,female,-0.00962537,-0.00606239,0.0392141,0.0628675,0.0082677,0.00222119,-0.00401875,-5.69161e-4,0.0102423,0.0199806
HG01935,PEL,AMR,male,-0.0141181,-0.00425341,0.0405921,0.0778033,0.00976038,-0.00734883,0.0144044,-0.00168563,-0.00898323,0.00834905
HG01936,PEL,AMR,female,-0.0142736,0.00194415,0.0305496,0.0545166,0.01148,-0.0160058,-0.00260247,0.00522837,0.00439696,7.51963e-4
